route_id;service_id;trip_id;trip_headsign;trip_short_name;direction_id;block_id;shape_id;wheelchair_accessible;bikes_allowed
1;16501;19480849;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16401;19477531;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19480850;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16401;19477532;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480851;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477533;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16501;19480852;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16401;19477534;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16401;19477535;1 SPRING GARDEN TO MUMFORD TERM;;0;28577;11820;0;0
1;16501;19480853;1 SPRING GARDEN TO MUMFORD TERM;;0;28576;11820;0;0
1;16501;19480854;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16401;19477536;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16401;19477537;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19480855;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16401;19477538;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480856;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480857;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477539;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477540;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16501;19480858;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16501;19480859;1 SPRING GARDEN TO MUMFORD TERM;;0;28576;11820;0;0
1;16401;19477541;1 SPRING GARDEN TO MUMFORD TERM;;0;28577;11820;0;0
1;16401;19477542;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16501;19480860;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16501;19480861;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16401;19477543;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19480862;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16401;19477544;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480863;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477545;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16501;19480864;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16401;19477546;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16401;19477547;1 SPRING GARDEN TO MUMFORD TERM;;0;28577;11820;0;0
1;16501;19480865;1 SPRING GARDEN TO MUMFORD TERM;;0;28576;11820;0;0
1;16501;19480866;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16401;19477548;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16401;19477549;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19480867;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16401;19477550;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480868;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480869;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477551;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477552;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16501;19480870;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
