service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,0,20221121,20230226
2,0,0,0,0,0,0,1,20221121,20230226
3,1,1,1,1,1,0,0,20221121,20230226
4,0,0,0,0,0,0,0,20221121,20230226
16401,0,0,0,0,0,0,0,20221121,20230226
16501,0,0,0,0,0,0,0,20221121,20230226
16601,0,0,0,0,0,0,0,20221121,20230226
6302,0,0,0,0,0,0,0,20221121,20230226
6902,0,0,0,0,0,0,0,20221121,20230226
